Complexity,Loss,Equation
1,6.691454,"5.0598116"
3,6.6873956,"x7 + 4.059308"
5,6.6243625,"protected_division(-9.571207e-10, x49) + 5.27397"
7,6.614369,"(protected_division(x49, x49) + 7.0661654) * 0.6441586"
8,6.614163,"(neg(protected_division(x49, x49)) + -6.942478) * -0.65151924"
10,6.5496316,"neg(((x7 + -23.651318) + protected_division(1.5254436, x53)) - -17.340614)"
11,6.533768,"(((x7 + 50.46102) * 0.75561756) + protected_division(-2.1438065, x53)) - 33.42908"
